Cycle,Date administered,Democratic candidate,Republican candidate,Libertarian,Green,Undecided,,,
2008,10/31/2008,0.51,0.43,NaN,NaN,NaN,,,
2008,10/31/2008,0.52,0.46,NaN,NaN,NaN,,,
2008,10/31/2008,0.53,0.4,NaN,NaN,NaN,,,
2008,10/31/2008,0.53,0.42,NaN,NaN,NaN,,,
2008,10/31/2008,0.53,0.42,NaN,NaN,NaN,,,
2008,10/31/2008,0.55,0.44,NaN,NaN,NaN,,,
2008,10/30/2008,0.54,0.43,NaN,NaN,NaN,,,
2008,10/30/2008,0.51,0.44,NaN,NaN,NaN,,,
2008,,,,NaN,NaN,NaN,,,
2008,,,,NaN,NaN,NaN,,,
2008,10/30/2008,0.51,0.46,NaN,NaN,NaN,,,
2008,,,,NaN,NaN,NaN,,,
2008,,,,NaN,NaN,NaN,,,
2008,10/29/2008,0.47,0.45,NaN,NaN,NaN,,,
2008,10/29/2008,0.49,0.42,NaN,NaN,NaN,,,
2008,10/31/2008,0.49,0.44,NaN,NaN,NaN,,,
2008,10/29/2008,0.52,0.41,NaN,NaN,NaN,,,
2008,10/29/2008,0.51,0.47,NaN,NaN,NaN,,,
2008,,,,NaN,NaN,NaN,,,
2008,,,,NaN,NaN,NaN,,,
2008,10/27/2008,0.5,0.43,NaN,NaN,NaN,,,
2008,10/26/2008,0.51,0.42,NaN,NaN,NaN,,,
2008,10/26/2008,0.5,0.47,NaN,NaN,NaN,,,
2008,10/24/2008,0.47,0.44,NaN,NaN,NaN,,,
2008,10/25/2008,0.49,0.45,NaN,NaN,NaN,,,
2008,10/25/2008,0.51,0.46,NaN,NaN,NaN,,,
2008,10/23/2008,0.52,0.36,NaN,NaN,NaN,,,
2008,10/23/2008,0.51,0.42,NaN,NaN,NaN,,,
2008,10/20/2008,0.5,0.43,NaN,NaN,NaN,,,
2008,10/20/2008,0.52,0.4,NaN,NaN,NaN,,,
2008,10/19/2008,0.52,0.39,NaN,NaN,NaN,,,
2008,10/18/2008,0.45,0.44,NaN,NaN,NaN,,,
2008,10/19/2008,0.52,0.42,NaN,NaN,NaN,,,
2008,10/19/2008,0.5,0.42,NaN,NaN,NaN,,,
2008,10/18/2008,0.5,0.42,NaN,NaN,NaN,,,
2008,10/18/2008,0.49,0.45,NaN,NaN,NaN,,,
2008,10/17/2008,0.52,0.42,NaN,NaN,NaN,,,
2008,10/17/2008,0.51,0.46,NaN,NaN,NaN,,,
2008,10/17/2008,0.52,0.41,NaN,NaN,NaN,,,
2008,10/16/2008,0.52,0.38,NaN,NaN,NaN,,,
2008,10/14/2008,0.5,0.43,NaN,NaN,NaN,,,
2008,10/13/2008,0.49,0.43,NaN,NaN,NaN,,,
2008,10/11/2008,0.48,0.44,NaN,NaN,NaN,,,
2008,10/10/2008,0.53,0.39,NaN,NaN,NaN,,,
2008,10/12/2008,0.53,0.43,NaN,NaN,NaN,,,
2008,10/10/2008,0.51,0.41,NaN,NaN,NaN,,,
2008,10/10/2008,0.52,0.4,NaN,NaN,NaN,,,
2008,10/10/2008,0.51,0.45,NaN,NaN,NaN,,,
2008,10/9/2008,0.5,0.43,NaN,NaN,NaN,,,
2008,10/7/2008,0.52,0.4,NaN,NaN,NaN,,,
2008,10/7/2008,0.48,0.43,NaN,NaN,NaN,,,
2008,10/6/2008,0.52,0.41,NaN,NaN,NaN,,,
2008,10/4/2008,0.52,0.4,NaN,NaN,NaN,,,
2008,10/3/2008,0.53,0.45,NaN,NaN,NaN,,,
2008,10/3/2008,0.5,0.42,NaN,NaN,NaN,,,
2008,10/1/2008,0.51,0.4,NaN,NaN,NaN,,,
2008,9/27/2008,0.49,0.4,NaN,NaN,NaN,,,
2008,9/28/2008,0.51,0.41,NaN,NaN,NaN,,,
2008,9/27/2008,0.49,0.43,NaN,NaN,NaN,,,
2008,9/23/2008,0.47,0.42,NaN,NaN,NaN,,,
2008,9/23/2008,0.5,0.45,NaN,NaN,NaN,,,
2008,9/23/2008,0.52,0.43,NaN,NaN,NaN,,,
2008,,,,NaN,NaN,NaN,,,
2008,,,,NaN,NaN,NaN,,,
2008,9/21/2008,0.47,0.44,NaN,NaN,NaN,,,
2008,9/19/2008,0.49,0.42,NaN,NaN,NaN,,,
2008,9/19/2008,0.5,0.44,NaN,NaN,NaN,,,
2008,9/17/2008,0.49,0.43,NaN,NaN,NaN,,,
2008,9/16/2008,0.49,0.44,NaN,NaN,NaN,,,
2008,9/15/2008,0.48,0.48,NaN,NaN,NaN,,,
2008,9/12/2008,0.48,0.43,NaN,NaN,NaN,,,
2008,,,,NaN,NaN,NaN,,,
2008,,-0.49,-0.44,NaN,NaN,NaN,,,
2008,9/13/2008,0.46,0.47,NaN,NaN,NaN,,,
2008,9/13/2008,0.47,0.45,NaN,NaN,NaN,,,
2008,9/13/2008,0.45,0.48,NaN,NaN,NaN,,,
2008,9/11/2008,0.45,0.47,NaN,NaN,NaN,,,
2008,9/11/2008,0.47,0.45,NaN,NaN,NaN,,,
2008,9/10/2008,0.46,0.46,NaN,NaN,NaN,,,
2008,9/8/2008,0.42,0.45,NaN,NaN,NaN,,,
2008,9/8/2008,0.46,0.46,NaN,NaN,NaN,,,
2008,9/7/2008,0.45,0.45,NaN,NaN,NaN,,,
2008,9/6/2008,0.47,0.46,NaN,NaN,NaN,,,
2008,9/6/2008,0.47,0.46,NaN,NaN,NaN,,,
2008,9/6/2008,0.44,0.49,NaN,NaN,NaN,,,
2008,9/5/2008,0.44,0.48,NaN,NaN,NaN,,,
2008,9/5/2008,0.46,0.5,NaN,NaN,NaN,,,
2008,9/5/2008,0.47,0.46,NaN,NaN,NaN,,,
2008,9/5/2008,0.48,0.48,NaN,NaN,NaN,,,
2008,9/3/2008,0.49,0.46,NaN,NaN,NaN,,,
2008,9/2/2008,0.45,0.4,NaN,NaN,NaN,,,
2008,9/1/2008,0.49,0.44,NaN,NaN,NaN,,,
2008,8/30/2008,0.5,0.42,NaN,NaN,NaN,,,
2008,8/30/2008,0.5,0.43,NaN,NaN,NaN,,,
2008,8/30/2008,0.49,0.43,NaN,NaN,NaN,,,
2008,8/29/2008,0.48,0.39,NaN,NaN,NaN,,,
2008,8/29/2008,0.48,0.4,NaN,NaN,NaN,,,
2008,8/26/2008,0.49,0.45,NaN,NaN,NaN,,,
2008,8/23/2008,0.44,0.46,NaN,NaN,NaN,,,
2008,8/21/2008,0.47,0.43,NaN,NaN,NaN,,,
2008,8/21/2008,0.48,0.45,NaN,NaN,NaN,,,
2008,8/19/2008,0.42,0.39,NaN,NaN,NaN,,,
2008,8/18/2008,0.39,0.38,NaN,NaN,NaN,,,
2008,8/15/2008,0.45,0.42,NaN,NaN,NaN,,,
2008,8/15/2008,0.45,0.42,NaN,NaN,NaN,,,
2008,8/16/2008,0.46,0.45,NaN,NaN,NaN,,,
2008,8/14/2008,0.41,0.46,NaN,NaN,NaN,,,
2008,8/5/2008,0.46,0.43,NaN,NaN,NaN,,,
2008,8/5/2008,0.47,0.46,NaN,NaN,NaN,,,
2008,7/24/2008,0.49,0.4,NaN,NaN,NaN,,,
2008,7/22/2008,0.47,0.41,NaN,NaN,NaN,,,
2008,7/18/2008,0.47,0.41,NaN,NaN,NaN,,,
2008,7/7/2008,0.45,0.39,NaN,NaN,NaN,,,
2008,7/11/2008,0.46,0.43,NaN,NaN,NaN,,,
2008,7/10/2008,0.49,0.46,NaN,NaN,NaN,,,
2008,7/9/2008,0.47,0.4,NaN,NaN,NaN,,,
2008,7/8/2008,0.5,0.41,NaN,NaN,NaN,,,
2008,7/9/2008,0.44,0.41,NaN,NaN,NaN,,,
2008,6/26/2008,0.5,0.45,NaN,NaN,NaN,,,
2008,6/26/2008,0.46,0.38,NaN,NaN,NaN,,,
2008,6/26/2008,0.49,0.43,NaN,NaN,NaN,,,
2008,6/25/2008,0.46,0.42,NaN,NaN,NaN,,,
2008,6/19/2008,0.49,0.37,NaN,NaN,NaN,,,
2008,6/18/2008,0.51,0.36,NaN,NaN,NaN,,,
2008,6/17/2008,0.48,0.44,NaN,NaN,NaN,,,
2008,6/15/2008,0.5,0.44,NaN,NaN,NaN,,,
2008,6/17/2008,0.45,0.41,NaN,NaN,NaN,,,
2008,6/12/2008,0.47,0.42,NaN,NaN,NaN,,,
2008,6/11/2008,0.47,0.41,NaN,NaN,NaN,,,
2008,6/9/2008,0.5,0.44,NaN,NaN,NaN,,,
2008,6/9/2008,0.48,0.42,NaN,NaN,NaN,,,
2008,5/26/2008,0.44,0.4,NaN,NaN,NaN,,,
2012,11/1/2012,0.51,0.48,NaN,NaN,NaN,,,
2012,11/1/2012,0.48,0.47,NaN,NaN,NaN,,,
2012,11/1/2012,0.5,0.47,NaN,NaN,NaN,,,
2012,11/1/2012,0.49,0.49,NaN,NaN,NaN,,,
2012,11/1/2012,0.49,0.45,NaN,NaN,NaN,,,
2012,11/1/2012,0.49,0.46,NaN,NaN,NaN,,,
2012,11/1/2012,0.49,0.5,NaN,NaN,NaN,,,
2012,11/2/2012,0.5,0.48,NaN,NaN,NaN,,,
2012,11/2/2012,0.49,0.49,NaN,NaN,NaN,,,
2012,11/2/2012,0.48,0.49,NaN,NaN,NaN,,,
2012,10/4/2012,0.47,0.47,NaN,NaN,NaN,,,
2012,10/4/2012,0.46,0.46,NaN,NaN,NaN,,,
2012,10/4/2012,0.45,0.49,NaN,NaN,NaN,,,
2012,10/4/2012,0.47,0.49,NaN,NaN,NaN,,,
2012,10/4/2012,0.47,0.49,NaN,NaN,NaN,,,
2012,10/4/2012,0.46,0.47,NaN,NaN,NaN,,,
2012,10/5/2012,0.45,0.45,NaN,NaN,NaN,,,
2012,10/7/2012,0.46,0.44,NaN,NaN,NaN,,,
2012,10/7/2012,0.45,0.46,NaN,NaN,NaN,,,
2012,10/7/2012,0.49,0.48,NaN,NaN,NaN,,,
2012,10/7/2012,0.44,0.47,NaN,NaN,NaN,,,
2012,10/9/2012,0.46,0.5,NaN,NaN,NaN,,,
2012,10/10/2012,0.47,0.47,NaN,NaN,NaN,,,
2012,10/10/2012,0.49,0.46,NaN,NaN,NaN,,,
2012,10/10/2012,0.5,0.43,NaN,NaN,NaN,,,
2012,10/10/2012,0.47,0.45,NaN,NaN,NaN,,,
2012,10/11/2012,0.48,0.45,NaN,NaN,NaN,,,
2012,10/13/2012,0.47,0.49,NaN,NaN,NaN,,,
2012,10/14/2012,0.45,0.52,NaN,NaN,NaN,,,
2012,10/14/2012,0.46,0.49,NaN,NaN,NaN,,,
2012,10/15/2012,0.47,0.49,NaN,NaN,NaN,,,
2012,10/15/2012,0.49,0.48,NaN,NaN,NaN,,,
2012,10/17/2012,0.49,0.47,NaN,NaN,NaN,,,
2012,10/17/2012,0.48,0.46,NaN,NaN,NaN,,,
2012,10/17/2012,0.47,0.47,NaN,NaN,NaN,,,
2012,10/17/2012,0.49,0.44,NaN,NaN,NaN,,,
2012,10/17/2012,0.47,0.45,NaN,NaN,NaN,,,
2012,10/18/2012,0.5,0.47,NaN,NaN,NaN,,,
2012,10/18/2012,0.49,0.48,NaN,NaN,NaN,,,
2012,10/18/2012,0.45,0.48,NaN,NaN,NaN,,,
2012,10/19/2012,0.48,0.4,NaN,NaN,NaN,,,
2012,10/19/2012,0.45,0.44,NaN,NaN,NaN,,,
2012,10/19/2012,0.45,0.47,NaN,NaN,NaN,,,
2012,10/20/2012,0.46,0.5,NaN,NaN,NaN,,,
2012,10/21/2012,0.47,0.5,NaN,NaN,NaN,,,
2012,10/22/2012,0.49,0.48,NaN,NaN,NaN,,,
2012,10/22/2012,0.49,0.48,NaN,NaN,NaN,,,
2012,10/22/2012,0.49,0.48,NaN,NaN,NaN,,,
2012,10/22/2012,0.45,0.44,NaN,NaN,NaN,,,
2012,10/22/2012,0.48,0.48,NaN,NaN,NaN,,,
2012,10/22/2012,0.46,0.51,NaN,NaN,NaN,,,
2012,10/22/2012,0.46,0.43,NaN,NaN,NaN,,,
2012,10/23/2012,0.47,0.48,NaN,NaN,NaN,,,
2012,10/24/2012,0.51,0.39,NaN,NaN,NaN,,,
2012,10/24/2012,0.49,0.46,NaN,NaN,NaN,,,
2012,10/24/2012,0.47,0.45,NaN,NaN,NaN,,,
2012,10/24/2012,0.47,0.47,NaN,NaN,NaN,,,
2012,10/25/2012,0.49,0.49,NaN,NaN,NaN,,,
2012,10/25/2012,0.48,0.47,NaN,NaN,NaN,,,
2012,10/25/2012,0.49,0.49,NaN,NaN,NaN,,,
2012,10/25/2012,0.5,0.45,NaN,NaN,NaN,,,
2012,10/26/2012,0.48,0.46,NaN,NaN,NaN,,,
2012,10/26/2012,0.48,0.47,NaN,NaN,NaN,,,
2012,10/27/2012,0.47,0.49,NaN,NaN,NaN,,,
2012,10/28/2012,0.46,0.45,NaN,NaN,NaN,,,
2012,10/28/2012,0.46,0.46,NaN,NaN,NaN,,,
2012,10/28/2012,0.45,0.48,NaN,NaN,NaN,,,
2012,10/28/2012,0.49,0.48,NaN,NaN,NaN,,,
2012,10/29/2012,0.49,0.49,NaN,NaN,NaN,,,
2012,10/29/2012,0.48,0.49,NaN,NaN,NaN,,,
2012,10/30/2012,0.49,0.48,NaN,NaN,NaN,,,
2012,10/31/2012,0.49,0.48,NaN,NaN,NaN,,,
2012,10/31/2012,0.49,0.42,NaN,NaN,NaN,,,
2012,10/31/2012,0.48,0.45,NaN,NaN,NaN,,,
2012,10/31/2012,0.49,0.47,NaN,NaN,NaN,,,
2012,10/31/2012,0.48,0.42,NaN,NaN,NaN,,,
2012,10/31/2012,0.48,0.47,NaN,NaN,NaN,,,
2012,9/6/2012,0.45,0.41,NaN,NaN,NaN,,,
2012,9/6/2012,0.48,0.43,NaN,NaN,NaN,,,
2012,9/6/2012,0.5,0.44,NaN,NaN,NaN,,,
2012,9/7/2012,0.5,0.44,NaN,NaN,NaN,,,
2012,9/7/2012,0.49,0.48,NaN,NaN,NaN,,,
2012,9/7/2012,0.53,0.45,NaN,NaN,NaN,,,
2012,9/7/2012,0.52,0.46,NaN,NaN,NaN,,,
2012,9/7/2012,0.5,0.44,NaN,NaN,NaN,,,
2012,9/7/2012,0.52,0.41,NaN,NaN,NaN,,,
2012,9/7/2012,0.5,0.46,NaN,NaN,NaN,,,
2012,9/8/2012,0.49,0.45,NaN,NaN,NaN,,,
2012,9/8/2012,0.46,0.45,NaN,NaN,NaN,,,
2012,9/8/2012,0.51,0.43,NaN,NaN,NaN,,,
2012,9/8/2012,0.49,0.46,NaN,NaN,NaN,,,
2012,9/8/2012,0.5,0.45,NaN,NaN,NaN,,,
2012,9/8/2012,0.49,0.45,NaN,NaN,NaN,,,
2012,9/9/2012,0.46,0.42,NaN,NaN,NaN,,,
2012,9/9/2012,0.48,0.43,NaN,NaN,NaN,,,
2012,9/11/2012,0.48,0.42,NaN,NaN,NaN,,,
2012,9/11/2012,0.46,0.43,NaN,NaN,NaN,,,
2012,9/12/2012,0.5,0.44,NaN,NaN,NaN,,,
2012,9/12/2012,0.5,0.45,NaN,NaN,NaN,,,
2012,9/12/2012,0.51,0.42,NaN,NaN,NaN,,,
2012,9/12/2012,0.51,0.43,NaN,NaN,NaN,,,
2012,9/12/2012,0.46,0.41,NaN,NaN,NaN,,,
2012,9/12/2012,0.48,0.43,NaN,NaN,NaN,,,
2012,9/13/2012,0.48,0.41,NaN,NaN,NaN,,,
2012,9/13/2012,0.48,0.45,NaN,NaN,NaN,,,
2012,9/13/2012,0.52,0.37,NaN,NaN,NaN,,,
2012,9/13/2012,0.5,0.4,NaN,NaN,NaN,,,
2012,9/13/2012,0.47,0.46,NaN,NaN,NaN,,,
2012,9/13/2012,0.52,0.45,NaN,NaN,NaN,,,
2012,9/15/2012,0.5,0.43,NaN,NaN,NaN,,,
2012,9/16/2012,0.5,0.46,NaN,NaN,NaN,,,
2012,9/19/2012,0.48,0.46,NaN,NaN,NaN,,,
2012,9/19/2012,0.5,0.44,NaN,NaN,NaN,,,
2012,9/20/2012,0.5,0.45,NaN,NaN,NaN,,,
2012,9/20/2012,0.49,0.43,NaN,NaN,NaN,,,
2012,9/21/2012,0.49,0.41,NaN,NaN,NaN,,,
2012,9/21/2012,0.49,0.43,NaN,NaN,NaN,,,
2012,9/23/2012,0.46,0.46,NaN,NaN,NaN,,,
2012,9/24/2012,0.5,0.47,NaN,NaN,NaN,,,
2012,9/25/2012,0.49,0.45,NaN,NaN,NaN,,,
2012,9/26/2012,0.49,0.44,NaN,NaN,NaN,,,
2012,9/26/2012,0.49,0.47,NaN,NaN,NaN,,,
2012,9/26/2012,0.49,0.41,NaN,NaN,NaN,,,
2012,9/26/2012,0.48,0.43,NaN,NaN,NaN,,,
2012,9/26/2012,0.51,0.44,NaN,NaN,NaN,,,
2012,9/26/2012,0.49,0.46,NaN,NaN,NaN,,,
2012,9/27/2012,0.49,0.45,NaN,NaN,NaN,,,
2012,9/28/2012,0.5,0.46,NaN,NaN,NaN,,,
2012,9/28/2012,0.5,0.47,NaN,NaN,NaN,,,
2012,9/28/2012,0.47,0.44,NaN,NaN,NaN,,,
2012,9/28/2012,0.47,0.43,NaN,NaN,NaN,,,
2012,9/7/2012,0.5,0.41,NaN,NaN,NaN,,,
2012,9/7/2012,0.51,0.43,NaN,NaN,NaN,,,
2016,11/1/2016,0.49,0.46,NaN,NaN,NaN,,,
2016,11/4/2016,0.49,0.45,NaN,NaN,NaN,,,
2016,11/4/2016,0.46,0.43,NaN,NaN,NaN,,,
2016,11/3/2016,0.49,0.46,NaN,NaN,NaN,,,
2016,11/3/2016,0.48,0.44,NaN,NaN,NaN,,,
2016,11/3/2016,0.43,0.42,NaN,NaN,NaN,,,
2016,11/3/2016,0.5,0.44,NaN,NaN,NaN,,,
2016,11/2/2016,0.44,0.39,NaN,NaN,NaN,,,
2016,11/2/2016,0.47,0.43,NaN,NaN,NaN,,,
2016,10/31/2016,0.51,0.44,NaN,NaN,NaN,,,
2016,10/4/2016,0.43,0.39,NaN,NaN,NaN,,,
2016,11/3/2016,0.48,0.43,NaN,NaN,NaN,,,
2016,11/2/2016,0.49,0.45,NaN,NaN,NaN,,,
2016,11/2/2016,0.45,0.44,NaN,NaN,NaN,,,
2016,10/30/2016,0.49,0.46,NaN,NaN,NaN,,,
2016,10/30/2016,0.43,0.48,NaN,NaN,NaN,,,
2016,11/1/2016,0.49,0.44,NaN,NaN,NaN,,,
2016,11/1/2016,0.46,0.43,NaN,NaN,NaN,,,
2016,10/31/2016,0.44,0.4,NaN,NaN,NaN,,,
2016,10/29/2016,0.49,0.48,NaN,NaN,NaN,,,
2016,10/29/2016,0.43,0.48,NaN,NaN,NaN,,,
2016,11/1/2016,0.46,0.45,NaN,NaN,NaN,,,
2016,11/1/2016,0.46,0.44,NaN,NaN,NaN,,,
2016,10/30/2016,0.44,0.39,NaN,NaN,NaN,,,
2016,10/31/2016,0.49,0.45,NaN,NaN,NaN,,,
2016,10/30/2016,0.45,0.44,NaN,NaN,NaN,,,
2016,10/28/2016,0.49,0.48,NaN,NaN,NaN,,,
2016,10/30/2016,0.49,0.46,NaN,NaN,NaN,,,
2016,10/29/2016,0.45,0.39,NaN,NaN,NaN,,,
2016,10/29/2016,0.44,0.44,NaN,NaN,NaN,,,
2016,10/27/2016,0.49,0.48,NaN,NaN,NaN,,,
2016,10/29/2016,0.49,0.47,NaN,NaN,NaN,,,
2016,10/28/2016,0.47,0.44,NaN,NaN,NaN,,,
2016,10/28/2016,0.45,0.39,NaN,NaN,NaN,,,
2016,10/30/2016,0.48,0.45,NaN,NaN,NaN,,,
2016,10/27/2016,0.44,0.44,NaN,NaN,NaN,,,
2016,10/26/2016,0.49,0.48,NaN,NaN,NaN,,,
2016,10/26/2016,0.42,0.48,NaN,NaN,NaN,,,
2016,10/28/2016,0.48,0.47,NaN,NaN,NaN,,,
2016,10/26/2016,0.45,0.44,NaN,NaN,NaN,,,
2016,10/29/2016,0.46,0.43,NaN,NaN,NaN,,,
2016,10/27/2016,0.52,0.47,NaN,NaN,NaN,,,
2016,10/27/2016,0.48,0.47,NaN,NaN,NaN,,,
2016,10/26/2016,0.44,0.39,NaN,NaN,NaN,,,
2016,10/25/2016,0.45,0.43,NaN,NaN,NaN,,,
2016,10/24/2016,0.49,0.48,NaN,NaN,NaN,,,
2016,10/24/2016,0.51,0.44,NaN,NaN,NaN,,,
2016,10/26/2016,0.49,0.47,NaN,NaN,NaN,,,
2016,10/24/2016,0.45,0.41,NaN,NaN,NaN,,,
2016,10/23/2016,0.48,0.48,NaN,NaN,NaN,,,
2016,10/27/2016,0.46,0.41,NaN,NaN,NaN,,,
2016,10/25/2016,0.46,0.45,NaN,NaN,NaN,,,
2016,10/23/2016,0.46,0.41,NaN,NaN,NaN,,,
2016,10/24/2016,0.49,0.46,NaN,NaN,NaN,,,
2016,10/22/2016,0.45,0.42,NaN,NaN,NaN,,,
2016,10/21/2016,0.42,0.36,NaN,NaN,NaN,,,
2016,10/21/2016,0.44,0.46,NaN,NaN,NaN,,,
2016,10/23/2016,0.5,0.45,NaN,NaN,NaN,,,
2016,10/22/2016,0.49,0.46,NaN,NaN,NaN,,,
2016,10/21/2016,0.44,0.42,NaN,NaN,NaN,,,
